"palavra_chave","afirmacao","negacao","busca_inteligente","operador"
"MMH",,,"Sim","Igual"
"MATERIAL","MÉDICO;HOSPITALAR;FARMACOLÓGICO","LABORATORIO;PERMANENTE;EQUIPAMENTO;SELADORA;SELAGEM;SACO","Sim","Igual"
"PENSO","MATERIAL",,"Sim","Igual"
"INSUMO","MÉDICO;HOSPITALAR",,"Sim","Igual"
"FRALDA","INFANTIL;GERIATRICA;DESCARTAVEL","PANO;TECIDO","Sim","Igual"
"ÁLCOOL","SANEANTE;DESINFETANTE;HOSPITALAR;GEL","COMBUSTÍVEL;VINAGRE;VEICULAR","Sim","Igual"
"MÁSCARA","CIRURGICA;PROCEDIMENTO","TECIDO;PANO","Sim","Igual"
"LUVA","PROCEDIMENTO;CIRURGICO;LÁTEX","BORRACHA;PANO;COURO;jardinagem","Sim","Igual"
"ABSORVENTE","INTIMO","PAPEL;PANO","Sim","Igual"
"higiene",,,"Sim","Igual"
"COMPRESSA","GAZE;CIRURGICA",,"Sim","Igual"
"AGULHA",,,"Sim","Igual"
"ALGODÃO","HIDROFILO;ORTOPEDICO","PANO;TECIDO;ROUPA;CAMISA;TOALHA","Sim","Igual"
"ATADURA","CREPOM;GESSADA;CREPE",,"Sim","Igual"
"AVENTAL","DESCARTAVEL;ESTERIL",,"Sim","Igual"
"CAMPO OPERATORIO","RADIOPACO",,"Sim","Igual"
"CATETER","INTRAVENOSO;OCULOS",,"Sim","Igual"
"CLOREXIDINA","SOLUÇÃO",,"Sim","Igual"
"COLETOR","PERFURO;URINA",,"Sim","Igual"
"EQUIPO","GOTAS;MACROGOTAS;NUTRI;TRANSFUSÃO;ENTERAL",,"Sim","Igual"
"ESPARADRAPO",,,"Sim","Igual"
"ETER","ETILICO;ALCOOL","ACETONA;LIMPADOR;PERFUME;SOLVENTE;LIMPA;DETERGENTE","Sim","Igual"
"MICROPORE","FITA",,"Sim","Igual"
"FRALDA","DESCARTAVEL;DESCATAVEL;GERIATRICA;INFANTIL;ADULTO",,"Sim","Igual"
"ENTERAL","FRASCO",,"Sim","Igual"
"GLUTARALDEIDO",,,"Sim","Igual"
"LUVA","CIRURGICA;PROCEDIMENTO;NITRILICA",,"Sim","Igual"
"DEGERMANTE","PVPI",,"Sim","Igual"
"SERINGA",,"SERVIÇO;FILTRO","Sim","Igual"
"SAPATILHA","PROPE;HOSPITALAR;DESCARTAVEL",,"Sim","Igual"
"SONDA","NASO;ASPIRA;UTERAL;URETAL;URETRAL",,"Sim","Igual"
"TOUCA","DESCARTAVEL;SANFONADA",,"Sim","Igual"
"TUBO","ASPIRAÇÃO;HOSPITAL","AÇO;EXTENSOR;COLETA;SISTEMA;ETIQUETA;ENSAIO;ÁGUA;ESGOTO;ENCANAMENTO","Sim","Igual"
"VASELINA",,,"Sim","Igual"
