id;orgao;objeto_licitacao;percentual;confianca;total_itens;itens_compativeis;principais_matches
07954480000179202524395;ESTADO DO CEARA;O objeto da licitação é o Registro de Preço para futuras e eventuais aquisições de medicamentos, nas condições estabelecidas neste edital e seus anexos.;73.85;ALTA;11;7;ISOSSORBIDA 10MG/ML C/50 AMP 1... (82%)|LEVOTIROXINA 100MCG C/30 (I) (... (73%)|HIDRALAZINA 20 MG/ML 1ML C/50 ... (50%)|METFORMINA 500MG C/30 CPR (G)... (52%)|METILDOPA 250 MG C/500 CPR (G)... (82%)
46374500000194202512627;SECRETARIA DE ESTADO DA SAUDE;Aquisição de medicamentos;85.68;ALTA;20;17;SINVASTATINA 20MG C/150 CPR (G... (82%)|CLONAZEPAM 0,5 MG C/480 CPR ZI... (82%)|CLOMIPRAMINA 25MG C/ 20 CPR CL... (82%)|LAMOTRIGINA 100MG CX C/30CPR *... (82%)|TOPIRAMATO 100MG C/60 CPR *(C-... (82%)
46374500000194202512899;SECRETARIA DE ESTADO DA SAUDE;Aquisição de Medicamento Importado para atendimento à Demanda Judicial;57.09;MEDIA;1;1;HIOSCINA  10 MG CX/20 COMP... (52%)
46374500000194202512038;SECRETARIA DE ESTADO DA SAUDE;Aquisição de Medicamentos para atender Determinações Judiciais.;0.0;INCOMPATIVEL;1;0;
463745000001942026372;SECRETARIA DE ESTADO DA SAUDE;Aquisição de Medicamentos para atender Determinação Judicial.;57.09;MEDIA;1;1;BUPROPIONA 150MG *(C-1) CX/30 ... (52%)
46374500000194202512041;SECRETARIA DE ESTADO DA SAUDE;Aquisição de Medicamentos para atender Determinações Judiciais.;61.28;MEDIA;5;3;CLINDAMICINA 300 MG CX/ 16 CAP... (50%)|RISPERIDONA 1 MG CX/200 CPR *(... (71%)|METFORMINA 500MG C/30 CPR (G)... (52%)
1512643700030520254298;EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES - EBSERH;Aquisição de insumos administrativos para o atendimento das demandas do Hospital Universitário de Brasília - HUB, conforme o Pregão 90.062/2025.;51.5;MEDIA;148;15;BISACODIL 5MG CX/150 CPR BISAL... (52%)|COLAGENASE C/CLOR.BIS 30G C/10... (52%)|MASCARA DESC.C/ELAST.TRIPLA BR... (51%)|MASCARA DESC.C/ELAST.TRIPLA BR... (51%)|MASCARA DESC.C/ELAST.TRIPLA BR... (51%)
46374500000194202512759;SECRETARIA DE ESTADO DA SAUDE;O objeto da presente licitação é a aquisição de medicamentos diversos conforme condições, quantidades e exigências estabelecidas neste Edital e seus Anexos.;77.41;ALTA;16;10;VALSARTANA 160 MG CX/30 CPRS (... (50%)|BUDESONIDA 32MCG SPRAY NASAL 1... (82%)|SINVASTATINA 20MG C/150 CPR (G... (74%)|PAROXETINA 20MG *(C-1) CX/30 C... (72%)|CARBAMAZEPINA 400 MG C/200CPR ... (82%)
466341010001152025582;MUNICIPIO DE BOTUCATU;Registro de preços para possível aquisição de medicamentos destinados a atender a rede de saúde básica, convênios e departamento de proteção animal. ;78.05;ALTA;21;21;HALOPERIDOL 1MG CX/200 CPRS *(... (82%)|HIDROXIDO ALUMINIO FR. 100ML A... (76%)|ISOSSORBIDA 10MG/ML C/50 AMP 1... (82%)|LEVODOPA+CARBIDOPA 250MG+25MG ... (62%)|LEVODOPA+CARBIDOPA 250MG+25MG ... (62%)
07954480000179202524411;ESTADO DO CEARA;REGISTRO DE PREÇO - MEDICAMENTO;54.49;MEDIA;8;4;CLOR.DE SODIO 0,9% 10 ML CX/20... (52%)|CLOR.DE SODIO 0,9% 10 ML CX/20... (52%)|CLOR.DE SODIO 0,9% 10 ML CX/20... (52%)|CLOR.DE SODIO 0,9% 10 ML CX/20... (52%)
