licitacao_id,item_portfolio_id,descricao_portfolio,score,tipo_match
46374500000194202512627_90156/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,55.56%,MÉDIO
46374500000194202512899_90352/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,55.00%,MÉDIO
07954480000179202524411_202525181/2025,,CREME DERMO PROTETOR 60G RESTAURADOR,55.38%,MÉDIO
07954480000179202524411_202525181/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,55.17%,MÉDIO
07954480000179202524412_202514581/2025,,CREME DERMO PROTETOR 60G RESTAURADOR,55.38%,MÉDIO
07954480000179202524412_202514581/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,55.17%,MÉDIO
11315213000129202583_00036/2025,,"COMPLEXO ""B"" C/500 DRG",57.14%,MÉDIO
250531170001642025285_90170/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,53.66%,MÉDIO
250531170001642025279_90158/2025,,COLETOR URINA SISTEMA FECHADO 2000ML,50.60%,MÉDIO
250531170001642025279_90158/2025,,COLETOR URINA SISTEMA FECHADO 2000 ML,50.00%,MÉDIO
46374500000194202513024_90167/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,55.56%,MÉDIO
46374500000194202512955_90319/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,55.00%,MÉDIO
07954480000179202524541_202520174/2025,,CREME DERMO PROTETOR 60G RESTAURADOR,55.38%,MÉDIO
07954480000179202524541_202520174/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,55.17%,MÉDIO
07954480000179202524547_202525009/2025,,CREME DERMO PROTETOR 60G RESTAURADOR,54.55%,MÉDIO
07954480000179202524556_202516971/2025,,AVENTAL DESC. HOSPITALAR EST. 50G PCT C/1,60.24%,MÉDIO
07954480000179202524556_202516971/2025,,AVENTAL DESC. HOSPITALAR 20 G PCT C/10,59.26%,MÉDIO
07954480000179202524556_202516971/2025,,AVENTAL DESC. HOSPITALAR 30G PCT C/10,57.50%,MÉDIO
07954480000179202524556_202516971/2025,,AVENTAL DESC. HOSPITALAR 40G PCT C/10,57.50%,MÉDIO
07954480000179202524556_202516971/2025,,AVENTAL DESC. HOSPITALAR 50G PCT C/10,57.50%,MÉDIO
07954480000179202524557_202524917/2025,,CREME DERMO PROTETOR 60G RESTAURADOR,55.38%,MÉDIO
07954480000179202524557_202524917/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,55.17%,MÉDIO
07954480000179202524552_202521736/2025,,CREME DERMO PROTETOR 60G RESTAURADOR,53.73%,MÉDIO
07954480000179202524559_202525176/2025,,CREME DERMO PROTETOR 60G RESTAURADOR,55.38%,MÉDIO
07954480000179202524559_202525176/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,55.17%,MÉDIO
07954480000179202524561_202513318/2025,,CREME DERMO PROTETOR 60G RESTAURADOR,55.38%,MÉDIO
07954480000179202524561_202513318/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,55.17%,MÉDIO
07954480000179202524638_202525024/2025,,CREME DERMO PROTETOR 60G RESTAURADOR,55.38%,MÉDIO
07954480000179202524638_202525024/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,55.17%,MÉDIO
501225710001772025535_119/2025-PE.94/2025/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,55.00%,MÉDIO
46374500000194202513068_90365/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,55.00%,MÉDIO
1057202200018020251256_90893/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,55.00%,MÉDIO
1512643700030520254178_90116/2025,,"COMPLEXO ""B"" C/500 DRG",57.14%,MÉDIO
1512643700030520254178_90116/2025,,"CATETER TIPO OCULOS ADULTO 1,50",55.81%,MÉDIO
249504950001882025224_00074/2025,,SUPLEMENTO ALIMENTAR 340 MG CX/510 CPR,68.97%,MÉDIO
4637450000019420261311_90022/2026,,ALCOOL 70% MEDICAMENTO 1000 ML,55.00%,MÉDIO
07954480000179202525029_202519632/2025,,AVENTAL DESC. HOSPITALAR EST. 50G PCT C/1,60.24%,MÉDIO
07954480000179202525029_202519632/2025,,AVENTAL DESC. HOSPITALAR 20 G PCT C/10,59.26%,MÉDIO
07954480000179202525029_202519632/2025,,AVENTAL DESC. HOSPITALAR 30G PCT C/10,57.50%,MÉDIO
07954480000179202525029_202519632/2025,,AVENTAL DESC. HOSPITALAR 40G PCT C/10,57.50%,MÉDIO
07954480000179202525029_202519632/2025,,AVENTAL DESC. HOSPITALAR 50G PCT C/10,57.50%,MÉDIO
07954480000179202525038_202511103/2025,,AVENTAL DESC. HOSPITALAR EST. 50G PCT C/1,60.24%,MÉDIO
07954480000179202525038_202511103/2025,,AVENTAL DESC. HOSPITALAR 20 G PCT C/10,59.26%,MÉDIO
